season,player_name,pos,posteam,defteam,game_id,week,game_date,rush_attempt,rush_touchdown,tackled_for_loss,yards_gained,fumble,touchdown,complete_pass,pass_attempt,pass_touchdown,air_yards,yards_after_catch,qb_dropback,qb_hit,qb_scramble,sack,interception,pass_yards,rush_yards,rec_yards,fanPts
1999,A.Jordan,TE,MIN,SF,1999_07_SF_MIN,7,1999-10-24,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,6.7
1999,A.Mayes,TE,CHI,DET,1999_12_CHI_DET,12,1999-11-25,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.3
1999,A.Mayes,TE,CHI,GB,1999_13_GB_CHI,13,1999-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,A.Mayes,TE,CHI,KC,1999_01_KC_CHI,1,1999-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,A.Mayes,TE,CHI,LA,1999_16_CHI_STL,16,1999-12-26,0.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,2.4
1999,A.Mayes,TE,CHI,LAC,1999_11_CHI_SD,11,1999-11-21,0.0,0.0,0.0,13.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,1.3
1999,A.Mayes,TE,CHI,MIN,1999_05_CHI_MIN,5,1999-10-10,0.0,0.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,1.2
1999,A.Mayes,TE,CHI,NO,1999_04_NO_CHI,4,1999-10-03,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.3
1999,A.Mayes,TE,CHI,PHI,1999_06_PHI_CHI,6,1999-10-17,0.0,0.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,1.6
1999,A.Mayes,TE,CHI,SEA,1999_02_SEA_CHI,2,1999-09-19,0.0,0.0,0.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,1.1
1999,A.Ofodile,TE,BAL,CIN,1999_11_BAL_CIN,11,1999-11-21,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.3
